id	trait	population	sample_size	year	build	author	pmid	doi
ebi-a-GCST006586	Urinary albumin excretion	European	382500	2018	HG19/GRCh37	Haas ME	30220432	
ebi-a-GCST90103634	Estimated glomerular filtration rate (creatinine)	European	1004040	2021	HG19/GRCh37	Stanzick KJ	34272381	
eqtl-a-ENSG00000091972	ENSG00000091972	European	31684	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000101384	ENSG00000101384	European	31470	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000102699	ENSG00000102699	European	14263	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000117318	ENSG00000117318	European	31684	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000119042	ENSG00000119042	European	31684	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000137393	ENSG00000137393	European	31470	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000138036	ENSG00000138036	European	31470	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000140416	ENSG00000140416	European	31470	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000158373	ENSG00000158373	European	31684	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000163041	ENSG00000163041	European	8269	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000168298	ENSG00000168298	European	30859	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000170525	ENSG00000170525	European	31470	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000180573	ENSG00000180573	European	31684	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000184678	ENSG00000184678	European	14263	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000187837	ENSG00000187837	European	31684	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000189060	ENSG00000189060	European	31470	2018	HG19/GRCh37	Vosa U	NA	
eqtl-a-ENSG00000189223	ENSG00000189223	European	17435	2018	HG19/GRCh37	Vosa U	NA	
