cluster	full_mean_trs	full_rank	bootstrap_top10_freq	bootstrap_rank_median	bootstrap_rank_q25	bootstrap_rank_q75
12	0.610898186404031	1	1	1	1	1
0	0.579524450355638	2	1	2	2	2
11	0.455882251749203	3	1	3	3	3
6	0.412378124690036	4	1	5	4	5
3	0.410600430161303	5	1	5	4	5
15	0.377080797704726	6	1	6	6	7
7	0.354067516967561	7	1	7	7	8
13	0.344606759917802	8	1	8	7	9
9	0.334240718698532	9	1	9	8	9
2	0.275681902308585	10	1	10	10	10
5	0.223503433809509	11	0	11	11	11
4	0.0991909550479249	12	0	12	12	12
8	-0.0139897684851175	13	0	13	13	14
1	-0.0178379619689887	14	0	14	13	14
17	-0.20755374728115	15	0	15	15	15
16	-0.240659321066788	16	0	16	16	17
10	-0.248022763463011	17	0	17	16	17
14	-0.283922281643402	18	0	18	18	18
